state,suburb_name,postcode,property_type,bedrooms,median_sold_price,sold_properties_current_year,sold_properties_five_years_ago,annual_growth
ACT,AINSLIE,2602,HOUSE,2,660500.0,4,7,0.067
ACT,AINSLIE,2602,HOUSE,3,689500.0,44,31,0.053
ACT,AINSLIE,2602,HOUSE,4,878500.0,8,11,0.076
ACT,AINSLIE,2602,HOUSE,5+,1055000.0,1,4,0.095
ACT,AINSLIE,2602,HOUSE,ALL,687000.0,62,61,0.057
ACT,AINSLIE,2602,UNIT,2,400000.0,1,3,0.014
ACT,AINSLIE,2602,UNIT,3,792500.0,6,3,0.084
ACT,AINSLIE,2602,UNIT,4,610000.0,2,1,0.026
ACT,AINSLIE,2602,UNIT,ALL,770000.0,13,19,0.083
ACT,AMAROO,2914,HOUSE,3,447500.0,22,21,0.027
ACT,AMAROO,2914,HOUSE,4,567000.0,44,37,0.035
ACT,AMAROO,2914,HOUSE,5+,661000.0,3,4,-0.024
ACT,AMAROO,2914,HOUSE,ALL,525990.0,73,80,0.033
ACT,AMAROO,2914,UNIT,3,430000.0,11,14,0.017
ACT,AMAROO,2914,UNIT,4,502500.0,2,2,0.04
ACT,AMAROO,2914,UNIT,ALL,430000.0,14,22,0.013
ACT,ARANDA,2614,HOUSE,3,675000.0,7,11,0.08
ACT,ARANDA,2614,HOUSE,4,718250.0,16,11,0.018
ACT,ARANDA,2614,HOUSE,5+,877500.0,3,,
ACT,ARANDA,2614,HOUSE,ALL,763250.0,28,29,0.073
ACT,ARANDA,2614,UNIT,2,350000.0,1,1,0.036
ACT,ARANDA,2614,UNIT,ALL,350000.0,1,5,0.036
ACT,BANKS,2906,HOUSE,2,362000.0,2,1,0.037
ACT,BANKS,2906,HOUSE,3,394975.0,38,42,0.016
ACT,BANKS,2906,HOUSE,4,580000.0,21,22,0.042
ACT,BANKS,2906,HOUSE,5+,640000.0,5,5,0.051
ACT,BANKS,2906,HOUSE,ALL,425000.0,67,81,0.021
ACT,BANKS,2906,UNIT,3,398000.0,8,27,0.029
ACT,BANKS,2906,UNIT,ALL,391000.0,13,41,0.027
ACT,BARTON,2600,HOUSE,4,1300000.0,1,,
ACT,BARTON,2600,HOUSE,ALL,1300000.0,1,4,-0.019
ACT,BARTON,2600,UNIT,1,460000.0,13,9,-0.031
ACT,BARTON,2600,UNIT,2,580000.0,9,6,0.015
ACT,BARTON,2600,UNIT,3,1515000.0,6,2,0.244
ACT,BARTON,2600,UNIT,ALL,580000.0,53,56,0.003
ACT,BELCONNEN,2617,HOUSE,2,360000.0,6,3,-0.02
ACT,BELCONNEN,2617,HOUSE,3,438000.0,5,4,-0.028
ACT,BELCONNEN,2617,HOUSE,ALL,380000.0,13,12,0.011
ACT,BELCONNEN,2617,UNIT,1,332750.0,22,41,-0.003
ACT,BELCONNEN,2617,UNIT,2,409000.0,26,61,0.019
ACT,BELCONNEN,2617,UNIT,3,419000.0,10,34,-0.066
ACT,BELCONNEN,2617,UNIT,4,440000.0,1,,
ACT,BELCONNEN,2617,UNIT,ALL,395250.0,112,291,0.014
ACT,BONNER,2914,HOUSE,3,437500.0,9,3,0.046
ACT,BONNER,2914,HOUSE,4,545000.0,17,,
ACT,BONNER,2914,HOUSE,ALL,514500.0,62,3,0.09
ACT,BONNER,2914,UNIT,2,385000.0,1,,
ACT,BONNER,2914,UNIT,3,410000.0,3,,
ACT,BONNER,2914,UNIT,4,430000.0,3,,
ACT,BONNER,2914,UNIT,ALL,385000.0,31,,
ACT,BONYTHON,2905,HOUSE,2,418875.0,2,,
ACT,BONYTHON,2905,HOUSE,3,463000.0,11,10,0.022
ACT,BONYTHON,2905,HOUSE,4,530000.0,9,24,0.027
ACT,BONYTHON,2905,HOUSE,5+,800000.0,1,1,0.122
ACT,BONYTHON,2905,HOUSE,ALL,485000.0,25,51,0.007
ACT,BONYTHON,2905,UNIT,2,332500.0,2,6,0.01
ACT,BONYTHON,2905,UNIT,3,410000.0,23,19,0.023
ACT,BONYTHON,2905,UNIT,4,523000.0,3,4,0.037
ACT,BONYTHON,2905,UNIT,ALL,410000.0,33,45,0.023
ACT,BRADDON,2612,HOUSE,2,465000.0,1,4,0.018
ACT,BRADDON,2612,HOUSE,3,785000.0,3,2,0.053
ACT,BRADDON,2612,HOUSE,4,970000.0,1,,
ACT,BRADDON,2612,HOUSE,ALL,785000.0,7,13,0.059
ACT,BRADDON,2612,UNIT,1,358500.0,23,30,0.002
ACT,BRADDON,2612,UNIT,2,450000.0,32,41,0.02
ACT,BRADDON,2612,UNIT,3,555000.0,7,12,0.002
ACT,BRADDON,2612,UNIT,ALL,436500.0,122,158,0.022
ACT,BRUCE,2617,HOUSE,1,280500.0,1,6,-0.019
ACT,BRUCE,2617,HOUSE,3,600000.0,5,2,0.034
ACT,BRUCE,2617,HOUSE,4,810000.0,11,19,0.067
ACT,BRUCE,2617,HOUSE,5+,887500.0,4,4,0.22
ACT,BRUCE,2617,HOUSE,ALL,665000.0,24,57,0.035
ACT,BRUCE,2617,UNIT,1,297250.0,16,95,-0.01
ACT,BRUCE,2617,UNIT,2,420000.0,21,40,0.029
ACT,BRUCE,2617,UNIT,3,520000.0,24,43,0.055
ACT,BRUCE,2617,UNIT,4,606250.0,4,13,0.02
ACT,BRUCE,2617,UNIT,ALL,410000.0,130,324,0.048
ACT,CALWELL,2905,HOUSE,3,441500.0,38,36,0.033
ACT,CALWELL,2905,HOUSE,4,582500.0,29,32,0.043
ACT,CALWELL,2905,HOUSE,5+,642250.0,8,4,0.015
ACT,CALWELL,2905,HOUSE,ALL,487000.0,79,76,0.036
ACT,CALWELL,2905,UNIT,3,365000.0,7,17,0.022
ACT,CALWELL,2905,UNIT,ALL,365000.0,11,29,0.022
ACT,CAMPBELL,2612,HOUSE,3,772500.0,11,14,0.036
ACT,CAMPBELL,2612,HOUSE,4,950000.0,15,11,0.066
ACT,CAMPBELL,2612,HOUSE,5+,1105000.0,5,3,0.095
ACT,CAMPBELL,2612,HOUSE,ALL,880000.0,31,38,0.06
ACT,CAMPBELL,2612,UNIT,1,290000.0,3,2,0.024
ACT,CAMPBELL,2612,UNIT,2,385250.0,1,,
ACT,CAMPBELL,2612,UNIT,3,395000.0,1,3,-0.095
ACT,CAMPBELL,2612,UNIT,ALL,390125.0,14,14,0.046
ACT,CASEY,2913,HOUSE,2,282000.0,4,3,-0.053
ACT,CASEY,2913,HOUSE,3,410000.0,35,30,0.168
ACT,CASEY,2913,HOUSE,4,530000.0,71,48,0.219
ACT,CASEY,2913,HOUSE,5+,407500.0,4,7,0.136
ACT,CASEY,2913,HOUSE,ALL,280000.0,241,143,0.039
ACT,CASEY,2913,UNIT,2,380000.0,1,14,0.032
ACT,CASEY,2913,UNIT,3,439475.0,4,4,0.021
ACT,CASEY,2913,UNIT,ALL,351000.0,30,36,0.016
ACT,CHAPMAN,2611,HOUSE,2,415000.0,2,,
ACT,CHAPMAN,2611,HOUSE,3,727500.0,4,10,0.069
ACT,CHAPMAN,2611,HOUSE,4,745000.0,9,19,0.027
ACT,CHAPMAN,2611,HOUSE,5+,785000.0,6,10,0.003
ACT,CHAPMAN,2611,HOUSE,ALL,717000.0,25,41,0.023
ACT,CHAPMAN,2611,UNIT,2,445000.0,1,,
ACT,CHAPMAN,2611,UNIT,3,600000.0,1,,
ACT,CHAPMAN,2611,UNIT,ALL,522500.0,2,,
ACT,CHARNWOOD,2615,HOUSE,2,350500.0,3,,
ACT,CHARNWOOD,2615,HOUSE,3,375000.0,27,28,0.021
ACT,CHARNWOOD,2615,HOUSE,4,422500.0,4,11,0.033
